"age_sex_lexSet","measurement.no","preSeg","dur","id","word","fit","se.fit"
"Old.Female.hole",0,"none",0.154291666666667,"017_FY","WHOLE",1222.18089370728,78.3509596538363
"Young.Female.hole",0,"none",0.154291666666667,"017_FY","WHOLE",1092.00693819614,42.0171972292217
"Old.Male.hole",0,"none",0.154291666666667,"017_FY","WHOLE",1085.25320280822,101.718028823582
"Young.Male.hole",0,"none",0.154291666666667,"017_FY","WHOLE",1146.17421225049,67.6841453783304
"Old.Female.holey",0,"none",0.154291666666667,"017_FY","WHOLE",1320.41181810394,87.9191832426867
"Young.Female.holey",0,"none",0.154291666666667,"017_FY","WHOLE",1320.15298249323,55.6693033315712
"Young.Male.holey",0,"none",0.154291666666667,"017_FY","WHOLE",1198.94071204125,76.7545732176957
"Old.Female.holy",0,"none",0.154291666666667,"017_FY","WHOLE",1341.33222065227,90.7257844333981
"Young.Female.holy",0,"none",0.154291666666667,"017_FY","WHOLE",1328.86302398924,60.9373926616967
"Young.Male.holy",0,"none",0.154291666666667,"017_FY","WHOLE",1247.70211270213,80.8318953413099
"Old.Female.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1219.2822283318,75.7348125017149
"Young.Female.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1090.37167521956,40.1576147430727
"Old.Male.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1083.18404608674,98.4949789647911
"Young.Male.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1143.42579565186,65.3218110261128
"Old.Female.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1318.67617024164,84.9875127807021
"Young.Female.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1316.93048856184,53.4626207398432
"Young.Male.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1194.56224910228,74.0653144563062
"Old.Female.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1339.62649879444,87.744376830228
"Young.Female.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1326.44131133592,58.6462195937618
"Young.Male.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",1245.23361509997,78.0910560919162
"Old.Female.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1216.20838409992,73.288440897338
"Young.Female.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1088.5612331034,38.4555968443092
"Old.Male.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1080.93970740411,95.4523218000893
"Young.Male.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1140.50219984718,63.1214979955463
"Old.Female.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1316.76534324174,82.2217317315257
"Young.Female.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1313.53281591297,51.397484991671
"Young.Male.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1190.00899310478,71.5394965028838
"Old.Female.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1337.74559805415,84.9360845614988
"Young.Female.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1323.84441951599,56.5037599824613
"Young.Male.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",1242.58993918932,75.5148907310741
"Old.Female.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1212.78418215525,71.0108403284105
"Young.Female.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1086.40043270807,36.8972511516753
"Old.Male.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1078.34500479921,92.5936206266753
"Young.Male.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1137.22824563039,61.0791525972994
"Old.Female.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1314.50415796665,79.6225886722677
"Young.Female.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1309.78478582914,49.4649978087225
"Young.Male.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1185.10615099025,69.175586718261
"Old.Female.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1335.51433954892,82.3026321011594
"Young.Female.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1320.89716936284,54.5033866701312
"Young.Male.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",1239.59590666173,73.1027905227419
"Old.Female.hole",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1208.83444364139,68.888995631391
"Young.Female.hole",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1083.714094894,35.4437172631152
"Old.Male.hole",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1075.22475631088,89.9136241696932
"Young.Male.hole",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1133.42875379544,59.1764964909767
"Old.Female.holey",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1311.71743527878,77.1803645369532
"Young.Female.holey",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1305.51121959289,47.6382828678832
"Young.Male.holey",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1179.67892970014,66.9593288830575
"Old.Female.holy",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1332.75754439627,79.8356529364976
"Young.Female.holy",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1317.42438170985,52.6223574237811
"Young.Male.holy",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",1236.07633920872,70.8425809965455
"Old.Female.hole",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1204.18400720449,66.9060676378745
"Young.Female.hole",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1080.32705802424,34.0462387974762
"Old.Male.hole",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1071.40379747996,87.4045320468149
"Young.Male.hole",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1128.92856263883,57.3905201754908
"Old.Female.holey",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1308.23001354304,74.8821288777711
"Young.Female.holey",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1300.53695598929,45.8838215398018
"Young.Male.holey",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1173.55255377953,64.8721921061924
"Old.Female.holy",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1329.30005121627,77.5237217818809
"Young.Female.holy",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1313.25089489285,50.8322595731289
"Young.Male.holy",10.2040816326531,"none",0.154291666666667,"017_FY","WHOLE",1231.85607602438,68.7184270055129
"Old.Female.hole",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1198.68093737784,65.0590511965334
"Young.Female.hole",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1076.08738645839,32.6807473304495
"Old.Male.hole",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1066.73018894154,85.0694486434478
"Young.Male.hole",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1123.57573634566,55.7141043347637
"Old.Female.holey",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1303.88995696758,72.727482505299
"Young.Female.holey",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1294.71005970931,44.1870969801865
"Young.Male.holey",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1166.57560773283,62.9099149794251
"Old.Female.holy",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1324.98992448044,75.367551265727
"Young.Female.holy",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1308.22477299276,49.122233066637
"Young.Male.holy",12.2448979591837,"none",0.154291666666667,"017_FY","WHOLE",1226.78318223286,66.7280075527903
"Old.Female.hole",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1192.2423112591,63.371820035161
"Young.Female.hole",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1070.91215744555,31.3756405368312
"Old.Male.hole",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1061.12100153935,82.9322306169395
"Young.Male.hole",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1117.28735166981,54.1714474306123
"Old.Female.holey",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1298.61434219442,70.7402874823123
"Young.Female.holey",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1287.94760806401,42.5728609346999
"Young.Male.holey",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1158.66608700627,61.0965608662322
"Old.Female.holy",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1319.74424111875,73.39122396093
"Young.Female.holy",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1302.26309223287,47.5169139307597
"Young.Male.holy",14.2857142857143,"none",0.154291666666667,"017_FY","WHOLE",1220.77473565009,64.8953365620392
"Old.Female.hole",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1184.79796530667,61.8682234620997
"Young.Female.hole",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1064.73120765571,30.1608680470373
"Old.Male.hole",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1054.5060650423,81.0167595650654
"Young.Male.hole",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1109.99324472671,52.7869066882388
"Old.Female.holey",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1292.33300520221,68.9446924900714
"Young.Female.holey",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1280.17943773549,41.0670761583917
"Young.Male.holey",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1149.75482006065,59.456534091111
"Old.Female.holy",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1313.49283740233,71.6189363163873
"Young.Female.holy",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1295.29568811915,46.0417350955464
"Young.Male.holy",16.3265306122449,"none",0.154291666666667,"017_FY","WHOLE",1213.76057347635,63.2446690264808
"Old.Female.hole",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1176.27814828391,60.5570067388875
"Young.Female.hole",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1057.47478606375,29.0374758386489
"Old.Male.hole",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1046.81562152422,79.3353192654904
"Young.Male.hole",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1101.62366393672,51.5674225068013
"Old.Female.holey",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1284.97619427451,67.3515830715486
"Young.Female.holey",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1271.33579771079,39.6745578799804
"Young.Male.holey",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1139.77304766172,57.998663015607
"Old.Female.holy",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1306.16596190722,70.061904641296
"Young.Female.holy",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1287.25280846254,44.7028936768272
"Young.Male.holy",18.3673469387755,"none",0.154291666666667,"017_FY","WHOLE",1205.6709452168,61.7857555073033
"Old.Female.hole",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1166.61612282307,59.4322791474909
"Young.Female.hole",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1049.07615551349,27.9769195829608
"Old.Male.hole",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1037.98292692647,77.8888371934501
"Young.Male.hole",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1092.11187158955,50.5030325562036
"Old.Female.holey",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1276.47717156368,65.9588448857325
"Young.Female.holey",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1261.34995084628,38.3787941381773
"Young.Male.holey",20.4081632653061,"none",0.154291666666667,"017_FY","WHOLE",1128.65502549833,56.7164852783198
