vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@0%	F2@0%	F1@10%	F2@10%	F1@20%	F2@20%	F1@30%	F2@30%	F1@40%	F2@40%	F1@50%	F2@50%	F1@60%	F2@60%	F1@70%	F2@70%	F1@80%	F2@80%	F1@90%	F2@90%	F1@100%	F2@100%	nFormants
OW	1	SO	552	1453	36.95	36.943	36.993	0.05	63	0	0	0	3	0			552	1453	552	1453	552	1453	552	1453	548	1426	520	1348	504	1376	507	1373	507	1373	507	1373	507	1373	5
IH	1	LI-+LIVED	580	1917	37.18	37.133	37.273	0.14	1	0	0	0	7	0			529	1765	529	1765	531	1775	564	1873	581	1918	583	1893	621	1827	645	1815	696	1809	692	1807	692	1807	5
EH	1	JESMOND	623	1737	37.776	37.743	37.843	0.1	2	3	4	2	5	4			600	1819	600	1819	600	1819	615	1790	623	1727	627	1676	645	1620	656	1609	667	1650	667	1650	667	1650	5
AH	0	JESMOND	587	1581	38.04	38.023	38.073	0.05	*	4	4	2	2	3			577	1578	577	1578	577	1578	577	1578	583	1579	594	1596	590	1646	589	1651	589	1651	589	1651	589	1651	5
AY	1	I	592	1743	38.397	38.363	38.443	0.08	41	0	0	0	0	0		s	1204	2358	1204	2358	1204	2358	855	1984	585	1647	605	1665	575	1827	561	1925	555	1964	555	1964	555	1964	5
AH	0	A	547	1595	38.776	38.743	38.843	0.1	*	0	0	0	0	0			545	1594	545	1594	545	1594	546	1569	546	1603	537	1676	547	1770	570	1842	567	1845	567	1845	567	1845	5
UW	1	FEW	392	2298	39.043	39.023	39.083	0.06	72	0	0	0	9	0			394	2299	394	2299	394	2299	394	2299	392	2299	392	2239	397	2119	397	2088	397	2088	397	2088	397	2088	5
IY	1	STREETS	465	2058	39.296	39.263	39.363	0.1	11	1	4	1	8	3			454	2093	454	2093	454	2093	442	2106	471	2054	496	2073	484	2123	460	2126	450	2125	450	2125	450	2125	6
AW	1	DOWN	843	1275	39.871	39.813	40.073	0.26	42	4	4	2	3	0			782	1433	782	1433	880	1255	885	1279	988	1358	942	1234	789	1156	759	1089	835	1230	799	1288	799	1288	6
EH	2	SOMEWHERE	888	1726	40.573	40.523	40.673	0.15	2	0	0	0	9	0			796	1467	796	1467	805	1489	891	1638	879	1727	895	1687	871	1674	833	1665	740	1587	734	1560	734	1560	5
