"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",567.379172057305,31.2779738457729
"holy","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",582.942433811946,76.1800072026689
"hole","Young","Female",0,"none",0.100166666666667,"D58A_FO","OLD",633.932292269456,97.3607572754712
"holy","Young","Female",0,"none",0.100166666666667,"D58A_FO","OLD",649.495554024097,120.929160133372
"hole","Old","Male",0,"none",0.100166666666667,"D58A_FO","OLD",597.35567060626,97.8969657758066
"holy","Old","Male",0,"none",0.100166666666667,"D58A_FO","OLD",612.918932360902,120.043790915627
"hole","Young","Male",0,"none",0.100166666666667,"D58A_FO","OLD",663.908790818411,134.223097493344
"holy","Young","Male",0,"none",0.100166666666667,"D58A_FO","OLD",679.472052573053,152.191322334096
"hole","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",567.302619692755,30.248090562687
"holy","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",584.594822429267,73.6970228518895
"hole","Young","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",631.284262440885,94.3728142355575
"holy","Young","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",648.576465177396,117.173563343673
"hole","Old","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",594.981765460941,94.8605092224817
"holy","Old","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",612.273968197453,116.243803379482
"hole","Young","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",658.96340820907,130.00325546584
"holy","Young","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",676.255610945582,147.384068783798
"hole","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",567.226067263244,29.2216062888397
"holy","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",586.247210995493,71.2234529021002
"hole","Young","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",628.632250342405,91.4121387694861
"holy","Young","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",647.653394074655,113.445847464799
"hole","Old","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",592.605549069488,91.852923466582
"holy","Old","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",611.626692801737,112.47217944837
"hole","Young","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",654.011732148649,125.821263431105
"holy","Young","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",673.032875880898,142.614603583592
"hole","Old","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",567.149514703808,28.1988921887588
"holy","Old","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",587.89959945953,68.7603133177719
"hole","Young","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",625.972273704107,88.4801472372673
"holy","Young","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",646.722358459828,109.747788587809
"hole","Old","Male",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",590.224710185767,88.8758927680662
"holy","Old","Male",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",610.974794941488,108.730851633423
"hole","Young","Male",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",649.047469186065,121.679157929353
"holy","Young","Male",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",669.797553941787,137.885201286817
"hole","Old","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",567.072961949488,27.1803737788247
"holy","Old","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",589.551987770284,66.3087663374865
"hole","Young","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",623.300350256083,85.5773452207426
"holy","Young","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",645.779376076878,106.080517713423
"hole","Old","Male",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",587.836937563646,85.9302095376907
"holy","Old","Male",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",610.315963384441,105.02110766721
"hole","Young","Male",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",644.06432587024,117.577688592346
"holy","Young","Male",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",666.543351691036,133.197069967961
"hole","Old","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",566.996408935318,26.1665409097784
"holy","Old","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",591.204375876659,63.8701466916707
"hole","Young","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",620.612498296824,82.7037882940513
"holy","Young","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",644.820465238165,102.444904752282
"hole","Old","Male",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",585.439920259196,83.0162080099018
"holy","Old","Male",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",609.647887200537,101.34395623374
"hole","Young","Male",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",639.056009620703,113.516965911442
"holy","Young","Male",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",663.263976562044,128.550932936275
"hole","Old","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",566.919855594211,25.1579599423979
"holy","Old","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",592.85676372752,61.4459933865635
"hole","Young","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",617.905490395144,79.8601670397778
"holy","Young","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",643.842398528453,98.8424502655208
"hole","Old","Male",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",583.031748357738,80.1347972134134
"holy","Old","Male",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",608.968656491048,97.700988106746
"hole","Young","Male",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",634.017383158671,109.497998920806
"holy","Young","Male",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",659.954291291981,123.948399184229
"hole","Old","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",566.843301852761,24.1552886514229
"holy","Old","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",594.509151271604,59.0380883443468
"hole","Young","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",615.178340331501,77.0489085390153
"holy","Young","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",642.844189750344,95.2761978289246
"hole","Old","Male",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",580.611703548432,77.2885170060186
"holy","Old","Male",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",608.277552967275,94.0952657576837
"hole","Young","Male",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",628.946742027172,105.524266080489
"holy","Young","Male",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",656.612591446015,119.393369032818
"hole","Old","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",566.766747636402,23.1592945090117
"holy","Old","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",596.161538457629,56.6485034364135
"hole","Young","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",612.43047625189,74.2729002228444
"holy","Young","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",641.825267073117,91.7497314622063
"hole","Old","Male",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",578.179287829653,74.4803206345814
"holy","Old","Male",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",607.574078650881,90.5303556866887
"hole","Young","Male",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",623.843016445141,101.599912432217
"holy","Young","Male",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",653.237807266369,114.890464537344
"hole","Old","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",566.690192868973,22.1708772856621
"holy","Old","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",597.813925232723,54.2796581088827
"hole","Young","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",609.661326300714,71.534743363
"holy","Young","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",640.785058664465,88.2666020734647
"hole","Old","Male",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",575.734003198185,71.7128684632097
"holy","Old","Male",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",606.857735561935,87.0097795129949
"hole","Young","Male",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",618.705136629926,97.7286927358087
"holy","Young","Male",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",649.828868993677,110.444120080302
"hole","Old","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",566.613637463821,21.1910971015831
"holy","Old","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",599.466311533554,51.9343901758671
"hole","Young","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",606.870333423908,68.8367491245786
"holy","Young","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",639.723007493641,84.8303579718253
"hole","Old","Male",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",573.275361073104,68.9885291360947
"holy","Old","Male",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",606.128035142838,83.5370491567477
"hole","Young","Male",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",613.532057033191,93.9139671903053
"holy","Young","Male",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",646.384731102924,106.058606345238
"hole","Old","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",566.537081339161,20.2212093407378
"holy","Old","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",601.118697309135,49.6160429569767
"hole","Young","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",604.060080720814,66.1821252616175
"holy","Young","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",638.641696690789,81.4455487832854
"hole","Old","Male",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",570.804872629502,66.3105250457919
"holy","Old","Male",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",605.386488599476,80.1166553486292
"hole","Young","Male",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",608.327872011155,90.1603994103262
"holy","Young","Male",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",642.90948798113,101.739567795384
"hole","Old","Female",24.4897959183673,"none",0.100166666666667,"D58A_FO","OLD",566.460524433642,19.2627082244697
"holy","Old","Female",24.4897959183673,"none",0.100166666666667,"D58A_FO","OLD",602.771082545599,47.3285725646131
