"age_sex_lexSet","measurement.no","preSeg","dur","id","word","fit","se.fit"
"Old.Female.hole",0,"none",0.154291666666667,"017_FY","WHOLE",631.90106339174,27.217766652174
"Young.Female.hole",0,"none",0.154291666666667,"017_FY","WHOLE",640.624186509061,10.2369195368146
"Old.Male.hole",0,"none",0.154291666666667,"017_FY","WHOLE",707.546746288939,36.2229454546199
"Young.Male.hole",0,"none",0.154291666666667,"017_FY","WHOLE",697.522121548589,22.6695511249422
"Old.Female.holey",0,"none",0.154291666666667,"017_FY","WHOLE",604.772500959853,28.7406840033808
"Young.Female.holey",0,"none",0.154291666666667,"017_FY","WHOLE",641.361097708948,13.4228630365889
"Young.Male.holey",0,"none",0.154291666666667,"017_FY","WHOLE",683.28332551993,24.3831576773846
"Old.Female.holy",0,"none",0.154291666666667,"017_FY","WHOLE",603.137506715435,29.2502715862192
"Young.Female.holy",0,"none",0.154291666666667,"017_FY","WHOLE",634.517389603071,13.9590450292491
"Young.Male.holy",0,"none",0.154291666666667,"017_FY","WHOLE",682.633141867367,25.2124989671644
"Old.Female.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",630.964906431228,26.2944858766406
"Young.Female.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",639.913982650145,9.58110927799812
"Old.Male.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",707.102727311978,34.9996419253837
"Young.Male.hole",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",695.473553467354,21.850629300541
"Old.Female.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",603.565675659039,27.7699227637894
"Young.Female.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",639.301262029401,12.6263215660018
"Young.Male.holey",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",680.514938919166,23.3997711047528
"Old.Female.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",601.592275964793,28.2298995023275
"Young.Female.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",633.089092224557,13.2730666675863
"Young.Male.holy",2.04081632653061,"none",0.154291666666667,"017_FY","WHOLE",679.393497624361,24.1855751975606
"Old.Female.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",630.02917025834,25.4154129277441
"Young.Female.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",639.204530690674,9.01787761966233
"Old.Male.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",706.659126160746,33.8258503369662
"Young.Male.hole",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",693.425406079586,21.0815902031981
"Old.Female.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",602.359271136969,26.842660785111
"Young.Female.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",637.2424190458,11.9315617267502
"Young.Male.holey",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",677.729819253489,22.4976191103063
"Old.Female.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",600.048156722544,27.2598510587084
"Young.Female.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",631.661215652806,12.6624036501118
"Young.Male.holy",4.08163265306122,"none",0.154291666666667,"017_FY","WHOLE",676.144909858133,23.2411380375076
"Old.Female.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",629.094275660698,24.5785334360899
"Young.Female.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",638.496582530092,8.54592360580033
"Old.Male.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",706.216360660968,32.7009269311529
"Young.Male.hole",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",691.378100078752,20.3599295192572
"Old.Female.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",601.15370817239,25.9571607974879
"Young.Female.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",635.185561454088,11.3377916876451
"Young.Male.holey",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",674.911233457988,21.6732454213386
"Old.Female.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",598.506260497082,26.3388576025998
"Young.Female.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",630.23418069458,12.1247386370896
"Young.Male.holy",6.12244897959184,"none",0.154291666666667,"017_FY","WHOLE",672.87843504546,22.3770866879915
"Old.Female.hole",8.16326530612245,"none",0.154291666666667,"017_FY","WHOLE",628.160643425927,23.7769354816157
