"age_lexSet","measurement.no","preSeg","id","word","fit","se.fit"
"Young.hope",85.7142857142857,"velar","D58A_FO","KNOW",652.36809594589,20.335948606494
"Old.hole",85.7142857142857,"velar","D58A_FO","KNOW",598.0473992606,24.9774954263744
"Young.hole",85.7142857142857,"velar","D58A_FO","KNOW",498.839933247365,72.7938479628027
"Old.hope",87.7551020408163,"velar","D58A_FO","KNOW",598.106463757446,14.1437854416743
"Young.hope",87.7551020408163,"velar","D58A_FO","KNOW",655.66986338885,21.0660060155363
"Old.hole",87.7551020408163,"velar","D58A_FO","KNOW",599.596395303463,25.8088565598669
"Young.hole",87.7551020408163,"velar","D58A_FO","KNOW",500.591692732409,74.8848486329701
"Old.hope",89.7959183673469,"velar","D58A_FO","KNOW",599.632691636018,14.7525468240643
"Young.hope",89.7959183673469,"velar","D58A_FO","KNOW",659.039173727637,21.8080664155381
"Old.hole",89.7959183673469,"velar","D58A_FO","KNOW",601.212940874954,26.6505846846687
"Young.hole",89.7959183673469,"velar","D58A_FO","KNOW",502.410994330159,76.9987833155753
"Old.hope",91.8367346938776,"velar","D58A_FO","KNOW",601.207483430957,15.3683439437018
"Young.hope",91.8367346938776,"velar","D58A_FO","KNOW",662.457047502625,22.5603593803192
"Old.hole",91.8367346938776,"velar","D58A_FO","KNOW",602.878055102428,27.5012474338061
"Young.hole",91.8367346938776,"velar","D58A_FO","KNOW",504.278858895992,79.1336481347084
"Old.hope",93.8775510204082,"velar","D58A_FO","KNOW",602.819159782846,15.9971225394153
"Young.hope",93.8775510204082,"velar","D58A_FO","KNOW",665.911805438702,23.3265296984092
"Old.hole",93.8775510204082,"velar","D58A_FO","KNOW",604.580057588494,28.3638531504276
"Young.hole",93.8775510204082,"velar","D58A_FO","KNOW",506.183607295396,81.2891260401322
"Old.hope",95.9183673469388,"velar","D58A_FO","KNOW",604.458498163882,16.6477179046886
"Young.hope",95.9183673469388,"velar","D58A_FO","KNOW",669.394225107023,24.1123698312988
"Old.hole",95.9183673469388,"velar","D58A_FO","KNOW",606.309724879875,29.2432124138989
"Young.hole",95.9183673469388,"velar","D58A_FO","KNOW",508.116017181443,83.4656777217149
"Old.hope",97.9591836734694,"velar","D58A_FO","KNOW",606.116277897683,17.326656493657
"Young.hope",97.9591836734694,"velar","D58A_FO","KNOW",672.895085930174,24.9222650641848
"Old.hole",97.9591836734694,"velar","D58A_FO","KNOW",608.057835374801,30.1430236008463
"Young.hole",97.9591836734694,"velar","D58A_FO","KNOW",510.066868058582,85.6635156722099
"Old.hope",100,"velar","D58A_FO","KNOW",607.783278307867,18.0360270650313
"Young.hope",100,"velar","D58A_FO","KNOW",676.40516733074,25.7576503579181
"Old.hole",100,"velar","D58A_FO","KNOW",609.815167471499,31.0645810314029
"Young.hole",100,"velar","D58A_FO","KNOW",512.02693943127,87.8821293456938
