fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
012_FY_20190703-GOAL,whole,interview,OWL1,HH,,0.33,619.6703986,572.88395,575.4496916,574.4226554,528.7122733,562.3475225,562.4154275,476.0746702,544.8297049,490.1841468,615.1708475,2124.229846,2005.258526,1772.399706,1615.006687,1617.765886,1602.996711,1470.67673,1406.140719,1443.060307,1479.674954,1805.87053
012_FY_20190703-GOAL,so,interview,OWL1,S,AY1,0.08,503.7320189,1603.828689,266.2539549,573.431007,534.3426443,449.2902248,418.4238486,591.275434,661.6564235,714.9815061,678.15987,1757.964204,2630.844046,1698.770324,1767.041921,1712.595134,1738.197795,1759.927951,1768.236475,1760.940698,1722.421882,1696.87571
012_FY_20190703-GOAL,no,interview,OWL1,N,AY1,0.34,770.0183025,793.88896,852.9729232,954.5025962,906.8917387,900.9666722,911.8528606,893.9044584,773.8547736,718.1664528,735.6045432,1692.869053,1652.921764,1648.144234,1665.011027,1624.57821,1622.246148,1652.872888,1641.976228,1687.248739,1678.891423,1706.686371
012_FY_20190703-GOAL,so,interview,OWL1,S,AY1,0.16,598.1230493,609.3234384,558.0443259,560.180781,569.7101952,600.8214998,541.4405779,537.9924656,656.6355849,585.6288013,582.7829275,1401.28915,1216.12321,1167.85162,1140.192649,1074.946055,1079.310875,1111.429294,1045.190929,1295.616947,1106.789411,1079.619611
012_FY_20190703-GOAL,no,interview,OWL1,N,AY1,0.25,830.2897273,1131.961644,1145.551733,934.1373511,1767.800115,410.4755422,375.4603664,990.1390704,690.650747,260.6249347,267.2095923,1743.440097,2116.672048,1760.881636,1912.698465,2805.960204,1951.002459,1749.583012,1981.122671,1854.273301,1805.933432,1886.774841
012_FY_20190703-GOAL,go,interview,OWL1,G,AY1,0.06,1092.963747,1046.477203,1239.205927,1273.488318,1145.546538,1067.903268,1291.833296,1476.385074,1116.556877,795.4029813,1120.192415,1530.04284,2257.296272,2565.90248,2577.258538,2495.848834,2161.870595,2276.398727,2559.076629,2229.121626,1808.024484,2092.784749
012_FY_20190703-GOAL,whole,interview,OWL1,HH,AY0,0.1,560.7793841,631.5296168,386.087199,451.9494724,1794.11231,1841.39181,1832.970099,973.2554699,605.4530552,470.3862121,400.4661715,1832.854453,1866.007752,1873.09446,1892.466013,3374.505356,3192.964008,3311.558406,2462.886361,2099.135688,1870.190708,1779.621287
012_FY_20190703-GOAL,oldest,interview,OWL1,IY0,D,0.12,562.7193601,557.7552021,591.4542549,547.2803585,540.9189109,509.3107547,415.6138757,466.68948,586.4780771,723.4036307,760.3916703,1514.704838,1350.219079,1374.059307,1317.885299,1426.045307,1416.86454,1291.094554,1415.957801,1980.57756,1973.980577,1937.510871
012_FY_20190703-GOAL,old,interview,OWL1,UW1,D,0.06,804.751279,718.7836953,775.7469841,761.346636,717.7708041,944.5533929,1017.13334,954.5682561,831.6922143,814.9738729,851.5100974,1486.37066,1477.892047,1531.492061,1516.157014,1503.234996,1533.779948,1559.463916,1542.872979,1538.166592,1517.967024,1497.268871
012_FY_20190703-GOAL,older,interview,OWL1,T,D,0.26,768.6567293,1244.156456,919.6050164,740.063431,1007.513584,259.9362653,298.2478211,430.2260724,371.3332175,516.5614931,1001.23511,1911.419418,2471.718493,1852.726372,1836.140392,2082.980987,1846.240782,2059.554409,2061.719704,1695.33821,2037.495324,2213.579155
