"lexSet_ord","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hope",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.967610448913,10.4351356276397
"hole",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",635.784078893824,12.8894058785043
"hope",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.772968238261,9.92167037371029
"hole",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",636.264621466744,12.2957884075937
"hope",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.600575106619,9.45161950770695
"hole",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",636.76738033953,11.7487310447528
"hope",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.472680132992,9.02191770034572
"hole",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",637.314571812047,11.2460855249519
"hope",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.411532396392,8.62225544239611
"hole",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",637.928412184162,10.779121716103
"hope",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.439363981694,8.238914076591
"hole",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",638.631100345395,10.336002823592
"hope",12.2448979591837,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.55585576117,7.86390142803128
"hole",12.2448979591837,"nasal_apical",0.139541818181818,"017_FY","KNOW",639.421731655074,9.90999674715971
"hope",14.2857142857143,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.693680746272,7.50215953131493
"hole",14.2857142857143,"nasal_apical",0.139541818181818,"017_FY","KNOW",640.230752475145,9.50599497633644
"hope",16.3265306122449,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.773123226531,7.15819320004276
"hole",16.3265306122449,"nasal_apical",0.139541818181818,"017_FY","KNOW",640.975917024741,9.12859994425744
"hope",18.3673469387755,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.714170467408,6.82863532574167
"hole",18.3673469387755,"nasal_apical",0.139541818181818,"017_FY","KNOW",641.574682498926,8.77558189957377
"hope",20.4081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",613.43493067814,6.50395416557872
"hole",20.4081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",641.942627082371,8.43935412134824
"hope",22.4489795918367,"nasal_apical",0.139541818181818,"017_FY","KNOW",612.872965216683,6.17835124222369
"hole",22.4489795918367,"nasal_apical",0.139541818181818,"017_FY","KNOW",642.014791824766,8.11579966538035
"hope",24.4897959183673,"nasal_apical",0.139541818181818,"017_FY","KNOW",612.011032851088,5.8609651529156
