vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@0%	F2@0%	F1@10%	F2@10%	F1@20%	F2@20%	F1@30%	F2@30%	F1@40%	F2@40%	F1@50%	F2@50%	F1@60%	F2@60%	F1@70%	F2@70%	F1@80%	F2@80%	F1@90%	F2@90%	F1@100%	F2@100%	nFormants
AH	0	INTERESTING	619	1527	36.077	36.06	36.11	0.05	6	6	4	2	3	2			596	1754	596	1754	596	1754	596	1754	604	1640	614	1182	607	808	609	803	609	803	609	803	609	803	6
AY	1	I	1006	1614	81.83	81.75	81.91	0.16	41	0	0	0	0	0		s	959	1572	959	1572	906	1553	1013	1494	923	1605	997	1615	995	1650	839	1804	604	1583	554	1467	554	1467	6
IH	1	LIVED	620	2118	82.04	82.01	82.1	0.09	1	3	2	2	7	3			554	2005	554	2005	554	2005	573	2039	623	2123	627	2139	594	2143	587	2134	584	2109	584	2109	584	2109	5
AH	0	THE	517	1799	82.423	82.4	82.47	0.07	*	0	0	0	3	0			516	1755	516	1755	516	1755	516	1755	517	1799	476	1802	491	1742	572	1714	572	1714	572	1714	572	1714	5
AH	1	FIRST	578	2038	82.62	82.58	82.7	0.12	6	3	4	1	1	3			563	1955	563	1955	563	1955	578	2013	575	2033	551	2031	506	2067	452	2103	514	2112	514	2112	514	2112	5
IH	1	YEAR	504	2210	82.957	82.93	83.01	0.08	14	6	4	2	9	0			489	2352	489	2352	489	2352	492	2338	504	2210	521	2060	869	2024	1049	1825	1057	1819	1057	1819	1057	1819	4
AH	0	A	639	1505	83.19	83.16	83.25	0.09	*	0	0	0	0	0			593	1504	593	1504	593	1504	583	1483	651	1523	824	1702	837	1712	832	1640	836	1597	836	1597	836	1597	5
AE	1	HALF	753	868	83.413	83.32	83.6	0.28	3	3	2	1	0	0			756	829	756	829	858	912	750	856	763	865	785	865	833	980	593	859	838	1220	885	1291	885	1291	6
IH	1	IN	798	2288	83.927	83.88	84.02	0.14	1	4	4	2	0	0			893	1895	893	1895	901	1917	1097	2249	700	2285	609	2278	634	2309	628	2312	593	2277	593	2278	593	2278	5
EH	1	JESMOND	738	1676	84.23	84.2	84.29	0.09	2	3	4	2	5	4			658	1767	658	1767	658	1767	682	1749	740	1672	744	1694	736	1726	730	1662	750	1650	750	1650	750	1650	6
AE	1	AND	890	1796	85.255	85.235	85.295	0.06	3	4	4	2	0	3			883	1812	883	1812	883	1812	883	1812	889	1795	817	1814	781	1848	744	1842	744	1842	744	1842	744	1842	5
IY	1	WE	559	2260	85.552	85.525	85.605	0.08	12	0	0	0	9	0			584	1874	584	1874	584	1874	579	1890	559	2260	527	2480	504	2483	530	2403	539	2389	539	2389	539	2389	4
UW	1	MOVED	574	2311	85.768	85.715	85.875	0.16	72	3	2	2	2	3			574	1665	574	1665	571	1671	579	2260	574	2314	553	2045	500	971	499	982	496	1577	499	1569	499	1569	6
AW	1	OUT	1137	1534	86.281	86.235	86.405	0.17	42	1	4	1	0	0			1183	1533	1183	1533	1210	1552	1130	1565	1165	1549	1138	1477	870	1364	877	1345	773	1203	756	1147	756	1147	5
