"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Young","Male",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1176.08665038039,73.5546510807961
"holey","Young","Male",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1353.07639178805,83.2374110848017
"holy","Young","Male",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1565.97944500572,89.2403705864426
"hole","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1168.91577292941,42.8789924477938
"holey","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1348.71092840073,56.9390285780922
"holy","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1563.8911377119,64.6153954744779
"hole","Young","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1138.53365290209,56.7526065722096
"holey","Young","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1318.32880837341,67.9946700031543
"holy","Young","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1533.50901768458,74.6621446318264
"hole","Old","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1202.40644400373,56.5961999794401
"holey","Old","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1382.20159947505,67.8905245519013
"holy","Old","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1597.38180878622,74.5831857193245
"hole","Young","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1172.02432397641,71.0265500052635
"holey","Young","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1351.81947944773,80.3102489816133
"holy","Young","Male",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1566.9996887589,86.1471339910923
"hole","Old","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1165.50459336862,41.115144791613
"holey","Old","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1348.10516552796,54.654897718586
"holy","Old","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1565.5766406891,62.179944651416
"hole","Young","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1134.04688306116,54.6716687882135
