"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"holy","Old","Female",36.734693877551,"none",0.138951289398281,"019_FO","OLDER",1523.40581703929,41.5474295401293
"hole","Old","Female",38.7755102040816,"none",0.138951289398281,"019_FO","OLDER",1051.34513097123,24.4148189161711
"holey","Old","Female",38.7755102040816,"none",0.138951289398281,"019_FO","OLDER",1270.41659781344,32.6947512502213
"holy","Old","Female",38.7755102040816,"none",0.138951289398281,"019_FO","OLDER",1516.05986341538,40.7966984549338
"hole","Old","Female",40.8163265306122,"none",0.138951289398281,"019_FO","OLDER",1039.36089243848,23.8716259620681
"holey","Old","Female",40.8163265306122,"none",0.138951289398281,"019_FO","OLDER",1261.23786188162,31.979132058968
"holy","Old","Female",40.8163265306122,"none",0.138951289398281,"019_FO","OLDER",1508.56166887385,40.2397738059269
"hole","Old","Female",42.8571428571429,"none",0.138951289398281,"019_FO","OLDER",1027.46347384492,23.468974209813
"holey","Old","Female",42.8571428571429,"none",0.138951289398281,"019_FO","OLDER",1252.14595429921,31.459986264042
"holy","Old","Female",42.8571428571429,"none",0.138951289398281,"019_FO","OLDER",1501.03119993294,39.873818171404
"hole","Old","Female",44.8979591836735,"none",0.138951289398281,"019_FO","OLDER",1015.79349511854,23.2316330795085
"holey","Old","Female",44.8979591836735,"none",0.138951289398281,"019_FO","OLDER",1243.28149516263,31.1601372840387
"holy","Old","Female",44.8979591836735,"none",0.138951289398281,"019_FO","OLDER",1493.60681670419,39.7169041361493
"hole","Old","Female",46.9387755102041,"none",0.138951289398281,"019_FO","OLDER",1004.49251757369,23.1682178008011
"holey","Old","Female",46.9387755102041,"none",0.138951289398281,"019_FO","OLDER",1234.78604595035,31.0885541666169
"holy","Old","Female",46.9387755102041,"none",0.138951289398281,"019_FO","OLDER",1486.42810857393,39.7749038548524
"hole","Old","Female",48.9795918367347,"none",0.138951289398281,"019_FO","OLDER",993.702102524731,23.2572527149201
"holey","Old","Female",48.9795918367347,"none",0.138951289398281,"019_FO","OLDER",1226.80116814082,31.229742856536
"holy","Old","Female",48.9795918367347,"none",0.138951289398281,"019_FO","OLDER",1479.63466492848,40.0322150022972
"hole","Old","Female",51.0204081632653,"none",0.138951289398281,"019_FO","OLDER",983.56224670108,23.4592956132031
"holey","Old","Female",51.0204081632653,"none",0.138951289398281,"019_FO","OLDER",1219.46685862514,31.5527989934666
"holy","Old","Female",51.0204081632653,"none",0.138951289398281,"019_FO","OLDER",1473.36443505461,40.4600171617308
"hole","Old","Female",53.0612244897959,"none",0.138951289398281,"019_FO","OLDER",974.176961378818,23.7714655089623
"holey","Old","Female",53.0612244897959,"none",0.138951289398281,"019_FO","OLDER",1212.8871287844,32.0522236871847
"holy","Old","Female",53.0612244897959,"none",0.138951289398281,"019_FO","OLDER",1467.71764594892,41.0529809220221
"hole","Old","Female",55.1020408163265,"none",0.138951289398281,"019_FO","OLDER",965.614272380674,24.2260725090364
"holey","Old","Female",55.1020408163265,"none",0.138951289398281,"019_FO","OLDER",1207.13000448979,32.7469924848982
