"lexSet_ord","age_sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hope","Old.Female",0,"none",0.120253986332574,"019_FO","KNOW",1604.54737608958,32.3911517288778
"hole","Old.Female",0,"none",0.120253986332574,"019_FO","KNOW",1184.55289452026,37.1537416221124
"hope","Young.Female",0,"none",0.120253986332574,"019_FO","KNOW",1608.75854210469,45.7364995294364
"hole","Young.Female",0,"none",0.120253986332574,"019_FO","KNOW",1188.76406053538,49.1544320082864
"hope","Old.Male",0,"none",0.120253986332574,"019_FO","KNOW",1638.37684548242,46.1737095952617
"hole","Old.Male",0,"none",0.120253986332574,"019_FO","KNOW",1218.38236391311,49.4886519640341
"hope","Young.Male",0,"none",0.120253986332574,"019_FO","KNOW",1634.08852361688,54.4071616201946
"hole","Young.Male",0,"none",0.120253986332574,"019_FO","KNOW",1214.09404204756,56.64912797699
"hope","Old.Female",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1602.78431797231,31.1162647253948
"hole","Old.Female",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1181.2144229942,35.3759024990253
"hope","Young.Female",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1609.18754398867,44.1686759898833
"hole","Young.Female",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1187.61764901056,47.1981370769797
"hope","Old.Male",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1638.70935040933,44.5948728993489
"hole","Old.Male",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1217.13945543121,47.5260780366526
"hope","Young.Male",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1631.88670198223,52.1620735102969
"hole","Young.Male",2.04081632653061,"none",0.120253986332574,"019_FO","KNOW",1210.31680700411,54.2081839955362
"hope","Old.Female",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1601.01717774522,29.8609200410016
"hole","Old.Female",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1177.72317051552,33.868295752921
"hope","Young.Female",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1609.61246380648,42.65569298125
"hole","Young.Female",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1186.31845657678,45.4849161770408
"hope","Old.Male",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1639.03777344255,43.0706732587416
"hole","Old.Male",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1215.74376621284,45.8051776618928
"hope","Young.Male",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1629.68177560519,50.1120687827432
"hole","Young.Male",4.08163265306122,"none",0.120253986332574,"019_FO","KNOW",1206.38776837549,52.0974776703952
"hope","Old.Female",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1599.24187329849,28.6274003637427
"hole","Old.Female",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1173.92635613161,32.6040133767792
"hope","Young.Female",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1610.02921949196,41.2033947376148
"hole","Young.Female",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1184.71370232508,43.9954432257526
"hope","Old.Male",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1639.3580326884,41.6069144319032
"hole","Old.Male",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1214.04251552152,44.3067182217999
"hope","Young.Male",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1627.47063974338,48.2610019284572
"hole","Young.Male",6.12244897959184,"none",0.120253986332574,"019_FO","KNOW",1202.1551225765,50.2987723206453
"hope","Old.Female",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1597.45432252229,27.4177192863712
"hole","Old.Female",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1169.67119888986,31.5073691176345
"hope","Young.Female",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1610.43372897894,39.8177822105418
"hole","Young.Female",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1182.65060534651,42.6756105467863
"hope","Old.Male",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1639.66604625322,40.2095593443921
"hole","Old.Male",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1211.88292262079,42.9769701105821
"hope","Young.Male",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1625.2501896544,46.5950182654075
"hole","Young.Male",8.16326530612245,"none",0.120253986332574,"019_FO","KNOW",1197.46706602197,48.7474504222306
"hope","Old.Female",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1595.65044330688,26.2335998435555
"hole","Old.Female",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1164.80493349416,30.4814934813809
"hope","Young.Female",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1610.82191020133,38.504983656529
"hole","Young.Female",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1179.9764003886,41.45703780266
"hope","Old.Male",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1639.9577322434,38.8847027340398
"hole","Old.Male",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1209.11222243067,41.7480575187876
"hope","Young.Male",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1623.01732427891,45.0893861133333
"hole","Young.Male",10.2040816326531,"none",0.120253986332574,"019_FO","KNOW",1192.17181446618,47.357278773574
"hope","Old.Female",12.2448979591837,"none",0.120253986332574,"019_FO","KNOW",1593.82615365246,25.0764745063883
"hole","Old.Female",12.2448979591837,"none",0.120253986332574,"019_FO","KNOW",1159.19557083718,29.4691950430007
