"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hope","Old","Female",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1685.49355997118,61.8944779275132
"hole","Old","Female",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1278.65159693248,66.7416102336853
"hope","Young","Female",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1712.8666922903,33.3362458591736
"hole","Young","Female",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1306.0247292516,41.5969986733296
"hope","Old","Male",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1688.492482066,80.5372410428286
"hole","Old","Male",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1281.6505190273,84.5105233304697
"hope","Young","Male",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1715.86561438512,57.4276301832504
"hole","Young","Male",0,"nasal_apical",0.139541818181818,"017_FY","KNOW",1309.02365134642,62.842684055054
"hope","Old","Female",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1682.22931875441,59.6601588237079
"hole","Old","Female",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1274.15681886336,64.2036012999011
"hope","Young","Female",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1708.73738901534,31.5314713854438
"hole","Young","Female",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1300.66488912429,39.4045205903292
"hope","Old","Male",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1685.01325530826,77.7754893769475
"hole","Old","Male",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1276.94075541721,81.4579792031574
"hope","Young","Male",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1711.52132556919,55.153116150515
"hole","Young","Male",2.04081632653061,"nasal_apical",0.139541818181818,"017_FY","KNOW",1303.44882567814,60.1993067681561
"hope","Old","Female",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1678.76975461624,57.6272591292631
"hole","Old","Female",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1269.36799079978,61.9258595739402
"hope","Young","Female",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1704.41275736335,29.9751372274871
"hole","Young","Female",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1295.01099354688,37.5279947627459
"hope","Old","Male",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1681.37807844208,75.2232393949564
"hole","Old","Male",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1271.97631462562,78.6738071908244
"hope","Young","Male",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1707.02108118918,53.09131964954
"hole","Young","Male",4.08163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",1297.61931737272,57.8416015065593
"hope","Old","Female",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1674.91954463529,55.7853279562801
"hole","Old","Female",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1263.9910627473,59.8929292056525
"hope","Young","Female",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1699.69746895729,28.6445057516937
"hole","Young","Female",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1288.76898706929,35.9416758335061
"hope","Old","Male",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1677.43100135903,72.8795443001685
"hole","Old","Male",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1266.50251947104,76.1526904854443
"hope","Young","Male",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1702.20892568102,51.2352645548232
"hole","Young","Male",6.12244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",1291.28044379303,55.7583430805905
"hope","Old","Female",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1670.48336589016,54.1007985646705
"hole","Old","Female",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1257.73198471146,58.0564445518064
"hope","Young","Female",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1694.39619542013,27.4679191329478
"hole","Young","Female",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1281.64481424142,34.5611476084391
"hope","Old","Male",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1673.01607395068,70.7267574802528
"hole","Old","Male",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1260.26469277197,73.8633431080725
"hope","Young","Male",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1696.92890348064,49.5532966653527
"hole","Young","Male",8.16326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",1284.17752230194,53.9015810129076
"hope","Old","Female",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1665.26589973309,52.5303972185285
"hole","Old","Female",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1250.29672198755,56.3537581229232
"hope","Young","Female",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1688.31361264873,26.3496933498375
"hole","Young","Female",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1273.34443490318,33.2735282137385
"hope","Old","Male",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1667.9773478172,68.7395446172396
"hole","Old","Male",10.2040816326531,"nasal_apical",0.139541818181818,"017_FY","KNOW",1253.00817007165,71.762150066168
