"age_sex_lexSet","measurement.no","preSeg","dur","id","word","fit","se.fit"
"Old.Female.hope",0,"velar",0.128280871670702,"D58A_FO","KNOW",1124.55860827467,58.159880558816
"Old.Male.hope",0,"velar",0.128280871670702,"D58A_FO","KNOW",1184.83222912752,61.8576202026097
"Young.Male.hope",0,"velar",0.128280871670702,"D58A_FO","KNOW",1349.29290693141,70.1888263088536
"Old.Female.hole",0,"velar",0.128280871670702,"D58A_FO","KNOW",1024.40272479251,78.9330964978727
"Old.Male.hole",0,"velar",0.128280871670702,"D58A_FO","KNOW",1259.59012828739,133.780159606328
"Young.Male.hole",0,"velar",0.128280871670702,"D58A_FO","KNOW",932.470979030465,184.212444833993
"Old.Female.hope",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1124.29926584944,55.596252230359
"Old.Male.hope",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1186.94125294719,59.2388782932224
"Young.Male.hope",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1355.24568392089,65.7556114482686
"Old.Female.hole",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1024.09069885436,75.8715304603202
"Old.Male.hole",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1253.88634279468,129.439841562346
"Young.Male.hole",2.04081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",944.029996336291,178.308816678871
"Old.Female.hope",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",1123.90861414442,53.1424653292098
"Old.Male.hope",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",1188.918968133,56.7836357077054
"Young.Male.hope",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",1361.17189274891,62.0038439949687
"Old.Female.hole",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",1023.64736307997,72.9072127843882
"Old.Male.hole",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",1248.05124689684,125.217188083729
"Young.Male.hole",4.08163265306122,"velar",0.128280871670702,"D58A_FO","KNOW",955.457705638102,172.533341627344
"Old.Female.hope",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",1123.25534387982,50.7893714314749
"Old.Male.hope",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",1190.63406605109,54.4906378861367
"Young.Male.hope",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",1367.04496525401,58.9249676546146
"Old.Female.hole",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",1022.94140763312,70.0342966324749
"Old.Male.hole",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",1241.95353018871,121.113939788778
"Young.Male.hole",6.12244897959184,"velar",0.128280871670702,"D58A_FO","KNOW",966.622798931886,166.89166558327
"Old.Female.hope",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",1122.20814577585,48.5097819209675
"Old.Male.hope",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",1191.95523806759,52.3424333081109
"Young.Male.hope",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",1372.83833327473,56.3914447963605
"Old.Female.hole",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",1021.84152267757,67.2342940261063
"Old.Male.hole",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",1235.46188226516,117.1252614371
"Young.Male.hole",8.16326530612245,"velar",0.128280871670702,"D58A_FO","KNOW",977.393968213629,161.385210593638
"Old.Female.hope",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",1120.63572475275,46.267543024356
"Old.Male.hope",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",1192.75118974868,50.3143293306971
"Young.Male.hope",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",1378.52543764724,54.2054036715162
"Old.Female.hole",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",1020.2164125771,64.4829510108929
"Old.Male.hole",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",1228.44500692099,113.243996787762
"Young.Male.hole",10.2040816326531,"velar",0.128280871670702,"D58A_FO","KNOW",987.639919679224,156.014317228883
"Old.Female.hope",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",1118.42562916398,44.0401376908532
"Old.Male.hope",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",1192.90947009935,48.3957413489388
"Young.Male.hope",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",1384.09165905154,52.2264430052521
"Old.Female.hole",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",1017.9536251206,61.7666379381119
"Old.Male.hole",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",1220.79045128366,109.470179946106
"Young.Male.hole",12.2448979591837,"velar",0.128280871670702,"D58A_FO","KNOW",997.24820280084,150.785204518522
"Old.Female.hope",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1115.52139806179,41.8393394429996
