fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
001_MO_20180709-GOAL,MOULD,interview,OWL1,M,D,0.369,597.5283938,590.6143444,551.2016409,511.7088136,395.0334212,410.2561053,392.7216247,364.7596678,383.418468,363.6453152,292.0889265,1055.56423,1020.350091,951.9136895,759.8068709,920.0296935,722.8533534,808.5398955,763.4188002,926.0962201,1093.799223,1170.670018
001_MO_20180709-GOAL,ROLLS,interview,OWL1,R,Z,0.279,458.6791806,654.8209001,663.0143374,554.8645178,498.2673124,443.5573553,397.37751,434.079999,434.6446691,500.8768425,400.0727596,1197.309248,1164.335433,1115.734026,1022.77007,967.3094233,866.9175497,888.0811078,859.3193963,2188.232045,1862.186858,1348.901423
001_MO_20180709-GOAL,O,interview,OWL1,AH0,EH1,0.13,406.5535416,404.1685018,395.7659362,380.6226875,330.4063133,361.3641342,337.3761295,352.3441519,386.9019276,427.6889376,539.8355362,1318.179269,1363.900448,1392.468468,1413.259782,1419.814478,1370.973204,1320.73619,1305.759638,1284.729935,1338.849436,1371.672447
001_MO_20180709-GOAL,O,interview,OWL1,UW1,EH1,0.22,429.1865815,485.00625,505.1546171,431.3509269,401.1947255,409.8211626,427.5060005,424.3683032,377.7734552,380.5085936,405.9197866,1434.145609,1428.233665,1343.772469,1228.880362,1222.801803,1104.070854,1150.984249,1096.103092,1125.011331,1275.293543,1394.797812
001_MO_20180709-GOAL,O,interview,OWL1,D,EH1,0.23,472.5072918,580.5464351,639.0097812,558.2876427,468.3844757,413.100716,388.3675502,371.4729121,367.3255337,369.1524024,421.5358662,1675.990921,1602.281859,1504.403928,1493.986259,1382.052487,1312.966089,1229.911593,1476.258628,1459.679891,1444.770674,1593.442927
001_MO_20180709-GOAL,O,interview,OWL1,D,EH1,0.18,441.5086202,501.6279502,527.2467483,528.7092129,508.712305,481.356639,455.1694055,429.218158,408.8101614,384.7466966,412.879704,1550.060411,1530.921352,1477.633477,1418.2946,1424.651498,1409.348961,1403.249179,1398.652755,1467.036851,1449.576747,1511.045014
001_MO_20180709-GOAL,O,interview,OWL1,N,EH1,0.18,707.6133685,665.8620599,587.8437715,552.6922084,512.0106546,462.9007444,475.1436302,419.7808866,399.0426706,403.5454194,577.8461409,1538.145248,1510.871286,1496.274376,1486.293866,1449.711395,1441.061824,1518.588009,1431.795899,1526.699285,1439.498545,1432.561261
001_MO_20180709-GOAL,O,interview,OWL1,T,EH1,0.231,690.816225,661.7348937,601.4451601,578.7010226,506.3337479,467.7475196,421.1339527,407.0842618,427.6659141,385.0353454,588.9872828,1505.015555,1535.35372,1466.357675,1404.660692,1372.863341,1385.104782,1475.983085,1573.000913,1496.108136,1507.744704,1633.365107
001_MO_20180709-GOAL,TOLD,interview,OWL1,T,D,0.201,962.3176341,579.9801008,638.8739574,547.7830898,439.2761968,357.5548294,369.5388388,365.4652226,369.9782474,436.797182,719.7691112,1473.139642,1242.153266,1176.953197,1025.027872,1076.148951,1120.827809,1053.153245,1075.262718,992.4367877,1698.185955,1693.801332
001_MO_20180709-GOAL,TOLD,interview,OWL1,T,D,0.12,790.0217932,594.8662498,535.6278274,536.2727258,528.3197989,504.0265406,468.7513617,438.9279205,424.4058158,446.1733561,354.9227244,1082.529807,1185.776122,1094.678501,1291.676271,1503.750141,1443.975591,1616.327889,1328.033895,1280.450889,1440.720609,1513.695709
