File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Post_Word Window	Vowels_per_Second	Comments	Warnings
001_MO_20180709	OW1	Internal	1		3482.623	3482.833	MOLER	3482.473	3482.962	M	3482.473	3482.623	L	3482.833	3482.912	sp 2.033	1.476		
001_MO_20180709	OW1	Internal	1		3485.603	3485.834	GOAL	3485.524	3486.033	G	3485.524	3485.603	L	3485.834	3486.033	sp 3.142	0.955		
001_MO_20180709	OW1	Internal	1		3493.929	3494.139	FOALING	3493.879	3494.309	F	3493.879	3493.929	L	3494.139	3494.189	sp 1.808	1.659		
001_MO_20180709	OW1	Internal	1		3494.805	3495.015	BOWL	3494.766	3495.195	B	3494.766	3494.805	L	3495.015	3495.195	sp 1.504	0.665		
001_MO_20180709	OW1	Internal	1		3501.39	3501.621	POLING	3501.341	3501.9	P	3501.341	3501.39	L	3501.621	3501.65	sp 3.042	1.315		
001_MO_20180709	OW1	Internal	1		3505.429	3505.719	SHOAL	3505.279	3505.819	SH	3505.279	3505.429	L	3505.719	3505.819	sp 2.225	1.348		
001_MO_20180709	OW1	Internal	1		3506.244	3506.463	BOWLER	3506.194	3506.624	B	3506.194	3506.244	L	3506.463	3506.554	sp 2.122	1.414		
001_MO_20180709	OW1	Internal	2		3509.324	3509.474	POLAROID	3509.204	3509.933	P	3509.204	3509.324	L	3509.474	3509.723	sp 2.196	1.821		
001_MO_20180709	OW1	Internal	2		3514.299	3514.389	POLAR	3514.249	3514.529	P	3514.249	3514.299	L	3514.389	3514.419	sp 1.748	1.144		
001_MO_20180709	OW1	Internal	2		3583.159	3583.258	HOLEY	3583.099	3583.638	HH	3583.099	3583.159	L	3583.258	3583.299	sp 2.550	1.176		
001_MO_20180709	OW1	Internal	2		3584.132	3584.302	HOLY	3583.971	3584.631	HH	3583.971	3584.132	L	3584.302	3584.402	sp 2.275	1.319		
